code,name,group,city,state,region,stateCode
AR04123,Lintl Clothing Pvt Ltd,Other,Noida,Uttar Pradesh,Northern,UP
AR04124,Aztec Infotech Pvt Ltd,Other,Delhi,Delhi,Northern,DL
AR04125,Think Tank Marketing Solutions,CORPORATE,Delhi,Delhi,Northern,DL
AR04126,Savi Enterprises,CORPORATE,Delhi,Delhi,Northern,DL
AR04127,Shree Ganesh Mobile,DISTRIBUTO,Panaji,Goa,Western,GA
AR04128,Victory Agency,DISTRIBUTO,Pimpri,Maharashtra,Western,MH
AR04129,Tanabana,CORPORATE,Delhi,Delhi,Northern,DL
AR04130,Fether Site Supply Solutions,CORPORATE,Hyderabad,Telangana,Southern,TS
AR04131,Artwaale,Other,Ghaziabad,Uttar Pradesh,Northern,UP
AR04132,Genique Enterprise,DISTRIBUTO,Aizawl,Mizoram,Northeastern,MZ
AR04133,Saneha Sales,DISTRIBUTO,Sri Ganganagar,Rajasthan,Northern,RJ
AR04136,SND Impressions,CORPORATE,Delhi,Delhi,Northern,DL
AR04137,Max Hypermarket India Pvt Ltd,LFR,Bangalore,Karnataka,Southern,KA
AR04139,Bhowal Enterprise,DISTRIBUTO,Kokrajhar,Assam,Northeastern,AS
AR04140,Times Communication,DISTRIBUTO,PATHANKOT,Punjab,Northern,PB
AR04142,Gayatri Agency,DISTRIBUTO,Rayagada,Odisha,Eastern,OD
AR04143,Gadgets India,CORPORATE,Jaipur,Rajasthan,Northern,RJ
AR04146,AD Box Pvt Ltd,CORPORATE,Gurgaon,Haryana,Northern,HR
AR00286,NS Concrete Solutions Pvt Ltd.,CORPORATE,FARIDABAD,Haryana,Northern,HR
AR00308,Popular Agencies,CORPORATE,Delhi,Delhi,Northern,DL
AR00796,Promotion Connects,CORPORATE,Delhi,Delhi,Northern,DL
AR00898,Alliance Public Relations Pvt. Ltd.,CORPORATE,Delhi,Delhi,Northern,DL
AR02092,Alfa Exports,CORPORATE,Mumbai,Maharashtra,Western,MH
AR02249,Nray Corporate Services Pvt Ltd,CORPORATE,Noida,Uttar Pradesh,Northern,UP
AR03659,Panache Industries,OTHER,Delhi,Delhi,Northern,DL
AR03846,BXI World LLP,OTHER,Mumbai,Maharashtra,Western,MH
AR04135,District 9,CORPORATE,Ghaziabad,Uttar Pradesh,Northern,UP
AR04138,Dosage Life Sciences Pvt Ltd,CORPORATE,Panchkula,Haryana,Northern,HR
AR04141,Super Distributors,DISTRIBUTO,Mandya,Karnataka,Southern,KA
AR04144,Swara Enterprises,DISTRIBUTO,Solapur,Maharashtra,Western,MH
AR04147,BTI Consultants India Pvt. Ltd.,CORPORATE,Gurgaon,Haryana,Northern,HR
AR04148,Altireach Technologies Private Limited,CORPORATE,Hyderabad,Telangana,Southern,TS
AR04149,Aubergine Solutions Pvt Ltd,CORPORATE,Ahmedabad,Gujarat,Western,GJ
AR04150,Mead Moon,CORPORATE,Delhi,Delhi,Northern,DL
AR04151,Simply Logistics Pvt Ltd,OTHER,Delhi,Delhi,Northern,DL
AR04152,Prozo Distribution Pvt Ltd,OTHER,Gurgaon,Haryana,Northern,HR
AR04153,Insat Equipment India Pvt Ltd,CORPORATE,Delhi,Delhi,Northern,DL
AR04154,Renao Works India Pvt Ltd,CORPORATE,Hyderabad,Telangana,Southern,TS
AR04155,V4 Solutions,CORPORATE,Delhi,Delhi,Northern,DL
AR04157,Nordtech Enterprises LLP,CORPORATE,Mumbai,Maharashtra,Western,MH
AR04159,Vie Biz,CORPORATE,Ahmedabad,Gujarat,Western,GJ
AR04160,Rahul Kumar,DISTRIBUTO,Chamba,Himachal Pradesh,Northern,HP
